PID TTY          TIME CMD
      1 ?        00:00:01 systemd
      2 ?        00:00:00 kthreadd
      3 ? a       00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?    d    00:00:00 netns   asdasdasa
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_rude_kthread
     12 ?        00:00:00 rcu_tasks_trace_kthread
     13 ?        00:00:01 ksoftirqd/0
     14 ?        00:00:03 rcu_sched
     15 ?        00:00:00 migration/0
     17 ?        00:00:00 cpuhp/0
     18 ?        00:00:00 cpuhp/1
     19 ?        00:00:00 migration/1
     20 ?        00:00:00 ksoftirqd/1
     22 ?        00:00:00 kworker/1:0H-events_highpri
     23 ?        00:00:00 cpuhp/2
     24 ?        00:00:00 migration/2
     25 ?        00:00:00 ksoftirqd/2
     27 ?        00:00:00 kworker/2:0H-events_highpri
     28 ?        00:00:00 cpuhp/3
     29 ?        00:00:00 migration/3
     30 ?        00:00:00 ksoftirqd/3
     32 ?        00:00:00 kworker/3:0H-events_highpri
     34 ?        00:00:00 kdevtmpfs
     35 ?        00:00:00 inet_frag_wq
     36 ?        00:00:00 kauditd
     37 ?        00:00:00 khungtaskd
     39 ?        00:00:00 oom_reaper
     40 ?        00:00:00 writeback
     41 ?        00:00:03 kcompactd0
     42 ?        00:00:00 ksmd
     43 ?        00:00:01 khugepaged
     44 ?        00:00:00 kintegrityd
     45 ?        00:00:00 kblockd
     46 ?        00:00:00 blkcg_punt_bio
     47 ?        00:00:00 tpm_dev_wq
     48 ?        00:00:00 edac-poller
     49 ?        00:00:00 devfreq_wq
     50 ?        00:00:00 watchdogd
     52 ?        00:00:00 kworker/1:1H-kblockd
     53 ?        00:00:00 kswapd0
     61 ?        00:00:00 kthrotld
     63 ?        00:00:00 irq/13-pciehp
     64 ?        00:00:00 irq/14-pciehp
     65 ?        00:00:00 irq/15-pciehp
     66 ?        00:00:00 irq/16-pciehp
     67 ?        00:00:00 irq/17-pciehp
     68 ?        00:00:00 irq/18-pciehp
     69 ?        00:00:00 irq/19-pciehp
     70 ?        00:00:00 irq/20-pciehp
     71 ?        00:00:00 irq/21-pciehp
     72 ?        00:00:00 irq/22-pciehp
     73 ?        00:00:00 irq/23-pciehp
     74 ?        00:00:00 irq/24-pciehp
     75 ?        00:00:00 irq/25-pciehp
     76 ?        00:00:00 irq/26-pciehp
     77 ?        00:00:00 irq/27-pciehp
