language	parser_lines	parser_bytes	scanner_lines	scanner_bytes	scanner_support_bytes	state_count	large_state_count	symbol_count	token_count	external_token_count	parser_object_bytes
bash	138473	3652145	1217	45602	0	3223	46	153	95	29	0
c	118872	3872012	0	0	0	2015	455	360	161	0	0
cpp	46575	1583850	148	5169	0	590	185	206	120	2	0
csharp	49689	1781461	0	0	0	524	263	226	163	0	0
css	17861	504253	100	3469	0	442	2	142	75	3	0
diff	3235	96230	0	0	0	89	4	63	38	0	0
embedded_template	1050	32869	0	0	0	29	4	30	20	0	0
go	61521	1572677	0	0	0	1442	29	214	95	0	0
haskell	13612	344281	0	0	0	313	21	101	60	0	0
html	2312	66810	362	10796	0	94	2	41	25	9	0
java	76883	2568156	0	0	0	1385	406	320	138	0	0
javascript	83628	2492289	364	10576	0	1722	326	259	133	8	0
jsdoc	3882	122139	48	1365	0	99	2	43	25	2	0
json	1095	28552	0	0	0	32	7	25	15	0	0
julia	36643	1032409	0	0	0	821	38	164	88	0	0
latex	14014	532791	0	0	0	243	63	155	107	0	0
make	36302	945976	0	0	0	1209	8	183	115	0	0
markdown	59787	2069408	1602	59243	0	925	351	203	90	47	0
markdown_inline	75709	2259655	397	15883	0	1161	166	149	67	15	0
ocaml	54703	1822319	0	0	0	1174	361	213	129	0	0
php	194155	7211128	17	592	18040	3371	840	431	197	12	0
python	129742	3439638	437	15470	0	2786	185	272	108	12	0
regex	4777	154781	0	0	0	137	13	76	47	0	0
ruby	16600	548156	0	0	0	357	115	153	95	0	0
rust	205906	6505510	403	12588	0	3825	1064	351	157	11	0
scala	61753	2099376	601	17186	0	1107	434	174	99	21	0
toml	4751	134334	82	2578	0	152	2	66	40	5	0
tsx	283111	8782068	13	535	10097	5986	1167	393	172	10	0
typescript	282592	8758250	13	570	10097	5870	1193	376	166	10	0
xml	8743	241565	271	7738	4270	495	2	143	74	11	0
yaml	41392	1289038	1415	51495	0	1579	96	301	114	113	0
